Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","MXOnly-2U-NoLED",300.466690,-35.889746,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-NoLED",34.611546,-35.889746,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-NoLED",53.661557,-35.889746,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-NoLED",72.301567,-33.749745,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-NoLED",92.801578,-37.709747,-12.000000,top
"MX6","MX-NoLED","MXOnly-1U-NoLED",111.435300,-41.670467,-12.000000,top
"MX7","MX-NoLED","MXOnly-1U-NoLED",130.069022,-45.631187,-12.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",148.702743,-49.591907,-12.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",176.860488,-47.611906,12.000000,top
"MX10","MX-NoLED","MXOnly-1U-NoLED",195.494209,-43.651185,12.000000,top
"MX11","MX-NoLED","MXOnly-1U-NoLED",214.127931,-39.690466,12.000000,top
"MX12","MX-NoLED","MXOnly-1U-NoLED",232.761653,-35.729746,12.000000,top
"MX13","MX-NoLED","MXOnly-1U-NoLED",253.261664,-33.749745,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-NoLED",271.891674,-35.889746,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-NoLED",290.941685,-35.889746,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-NoLED",309.991695,-35.889746,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-NoLED",11.591534,-33.749745,0.000000,top
"MX18","MX-NoLED","MXOnly-1.5U-NoLED",35.211547,-54.939757,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-NoLED",59.021559,-54.939757,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-NoLED",79.521570,-54.359756,-12.000000,top
"MX21","MX-NoLED","MXOnly-1U-NoLED",98.155293,-58.320476,-12.000000,top
"MX22","MX-NoLED","MXOnly-1U-NoLED",116.789015,-62.281196,-12.000000,top
"MX23","MX-NoLED","MXOnly-1U-NoLED",135.422736,-66.241916,-12.000000,top
"MX24","MX-NoLED","MXOnly-1U-NoLED",171.500485,-68.221917,12.000000,top
"MX25","MX-NoLED","MXOnly-1U-NoLED",190.134206,-64.261197,12.000000,top
"MX26","MX-NoLED","MXOnly-1U-NoLED",208.767928,-60.300477,12.000000,top
"MX27","MX-NoLED","MXOnly-1U-NoLED",227.401650,-56.339757,12.000000,top
"MX28","MX-NoLED","MXOnly-1U-NoLED",247.901661,-53.879756,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-NoLED",266.531671,-54.939757,0.000000,top
"MX30","MX-NoLED","MXOnly-1U-NoLED",285.581682,-54.939757,0.000000,top
"MX31","MX-NoLED","MXOnly-1.5U-NoLED",309.401695,-54.939757,0.000000,top
"MX32","MX-NoLED","MXOnly-1U-NoLED",7.431532,-52.799755,0.000000,top
"MX33","MX-NoLED","MXOnly-1U-NoLED",29.390517,-73.989767,0.000000,top
"MX34","MX-NoLED","MXOnly-1U-NoLED",59.721560,-73.989767,0.000000,top
"MX35","MX-NoLED","MXOnly-1U-NoLED",80.221571,-73.989767,-12.000000,top
"MX36","MX-NoLED","MXOnly-1U-NoLED",98.855293,-77.950487,-12.000000,top
"MX37","MX-NoLED","MXOnly-1U-NoLED",117.489015,-81.911206,-12.000000,top
"MX38","MX-NoLED","MXOnly-1U-NoLED",136.122736,-85.871926,-12.000000,top
"MX39","MX-NoLED","MXOnly-1U-NoLED",180.120490,-85.871926,12.000000,top
"MX40","MX-NoLED","MXOnly-1U-NoLED",198.754211,-81.911206,12.000000,top
"MX41","MX-NoLED","MXOnly-1U-NoLED",217.387933,-77.950487,12.000000,top
"MX42","MX-NoLED","MXOnly-1U-NoLED",236.021655,-73.989767,12.000000,top
"MX43","MX-NoLED","MXOnly-1U-NoLED",256.521666,-73.989767,0.000000,top
"MX44","MX-NoLED","MXOnly-1U-NoLED",275.571676,-73.989767,0.000000,top
"MX45","MX-NoLED","MXOnly-2.25U-ReversedStabilizers-NoLED",306.521693,-73.989767,0.000000,top
"MX46","MX-NoLED","MXOnly-1.75U-NoLED",33.521525,-73.989767,0.000000,top
"MX47","MX-NoLED","MXOnly-2.75U-NoLED",305.929693,-93.039777,0.000000,top
"MX48","MX-NoLED","MXOnly-2.25U-NoLED",34.121543,-93.039777,0.000000,top
"MX49","MX-NoLED","MXOnly-1U-NoLED",3.361529,-71.849766,0.000000,top
"MX50","MX-NoLED","MXOnly-1U-NoLED",65.071563,-93.039777,0.000000,top
"MX51","MX-NoLED","MXOnly-1U-NoLED",85.571574,-94.599778,-12.000000,top
"MX52","MX-NoLED","MXOnly-1U-NoLED",104.205296,-98.560498,-12.000000,top
"MX53","MX-NoLED","MXOnly-1U-NoLED",122.839018,-102.521217,-12.000000,top
"MX54","MX-NoLED","MXOnly-1U-NoLED",141.472739,-106.481937,-12.000000,top
"MX55","MX-NoLED","MXOnly-1U-NoLED",174.760487,-106.481937,12.000000,top
"MX56","MX-NoLED","MXOnly-1U-NoLED",193.394208,-102.521217,12.000000,top
"MX57","MX-NoLED","MXOnly-1U-NoLED",212.027930,-98.560498,12.000000,top
"MX58","MX-NoLED","MXOnly-1U-NoLED",230.661652,-94.599778,12.000000,top
"MX59","MX-NoLED","MXOnly-1U-NoLED",251.161663,-93.039777,0.000000,top
"MX60","MX-NoLED","MXOnly-1U-NoLED",270.211673,-93.039777,0.000000,top
"MX61","MX-NoLED","MXOnly-1.75U-NoLED",296.406688,-93.039777,0.000000,top
"MX62","MX-NoLED","MXOnly-1U-NoLED",322.600452,-93.039777,0.000000,top
"MX63","MX-NoLED","MXOnly-1.25U-NoLED",24.596543,-93.039777,0.000000,top
"MX64","MX-NoLED","MXOnly-1.5U-NoLED",26.981542,-112.089787,0.000000,top
"MX65","MX-NoLED","MXOnly-1U-NoLED",46.027793,-93.039777,0.000000,top
"MX66","MX-NoLED","MXOnly-1.5U-NoLED",80.761571,-114.589789,-12.000000,top
"MX67","MX-NoLED","MXOnly-2.25U-ReversedStabilizers-NoLED",116.291593,-120.609793,-12.000000,top
"MX68","MX-NoLED","MXOnly-2U-ReversedStabilizers-NoLED",114.000146,-120.118015,-12.000000,top
"MX69","MX-NoLED","MXOnly-1U-NoLED",144.296623,-126.557730,-12.000000,top
"MX70","MX-NoLED","MXOnly-2.75U-ReversedStabilizers-NoLED",195.061635,-121.649792,12.000000,top
"MX71","MX-NoLED","MXOnly-1.5U-NoLED",235.471655,-114.589789,12.000000,top
"MX72","MX-NoLED","MXOnly-1.5U-NoLED",314.157297,-112.137787,0.000000,top
